filename,xmin,ymin,xmax,ymax,class_name
14_097_2_0028_bmp.rf.bde981af6501a2f72b57dd55b38a55eb.jpg,105,85,114,91,Stenosis
14_033_3_0068_bmp.rf.bdbf936dd166880d44691adf11724097.jpg,107,57,117,64,Stenosis
14_069_1_0076_bmp.rf.bda99d67b10bf7fdaf29216f5228a52f.jpg,50,71,62,79,Stenosis
14_029_5_0099_bmp.rf.bdff65ddf291185dff73378b070517ba.jpg,54,123,61,133,Stenosis
14_059_1_0057_bmp.rf.be023b9ea38dbd8e88360dea68624a8e.jpg,105,95,129,109,Stenosis
14_007_5_0046_bmp.rf.be0ae6e034794b487ccb9547ae40b9ca.jpg,114,54,126,67,Stenosis
14_021_6_0052_bmp.rf.bded4827132729a4de683a3486f36383.jpg,114,47,126,63,Stenosis
14_077_5_0078_bmp.rf.bd9e0ef152af4b191c4a01388c54f7f4.jpg,99,74,110,87,Stenosis
14_053_2_0045_bmp.rf.bdd3473dad9dd514661fe33a38fe3f63.jpg,47,83,69,93,Stenosis
14_049_3_0025_bmp.rf.bd9bee38372e5e418bba95c2ea9ef1db.jpg,80,22,91,28,Stenosis
14_031_4_0048_bmp.rf.bd9169fca516081b8db6551402104daa.jpg,108,92,115,105,Stenosis
14_095_7_0028_bmp.rf.be103f1c6d46fe7f8954a4ca691cf977.jpg,47,67,55,79,Stenosis
14_070_5_0048_bmp.rf.bddf279b1785aabffbe21cbffd8b03ad.jpg,56,86,66,97,Stenosis
14_085_4_0034_bmp.rf.bdc391c0538d2c7f01bfa3caa50261b1.jpg,86,32,111,43,Stenosis
14_073_1_0063_bmp.rf.bdeb2902eff6c1fbe1ff05029dec9350.jpg,112,59,124,74,Stenosis
14_021_15_0061_bmp.rf.bdb61465b3dfd9700bc74ce0a0e4ac56.jpg,98,24,110,47,Stenosis
14_007_5_0049_bmp.rf.be0d70584db3055e1a3a2c2078ffe23d.jpg,114,57,126,69,Stenosis
14_039_4_0024_bmp.rf.be173319facbda0cf4649b31f9c7700f.jpg,70,57,78,65,Stenosis
14_021_4_0043_bmp.rf.be5eb567ea35791523cd0686fbc6ea89.jpg,92,110,124,130,Stenosis
14_049_4_0037_bmp.rf.bea83194362192237fbd71d545e2607d.jpg,86,32,95,38,Stenosis
14_088_1_0036_bmp.rf.be977140c066624eab27c41ba7dd1c0f.jpg,131,49,154,60,Stenosis
14_029_7_0037_bmp.rf.bea865162c784387e66121a25ae081ad.jpg,79,109,93,118,Stenosis
14_085_1_0062_bmp.rf.be93f0e0dbfc3b561e804c86809b65c0.jpg,39,108,49,122,Stenosis
14_076_3_0022_bmp.rf.be8149ebd76ac99a5696b1be6940ebf3.jpg,84,78,117,84,Stenosis
14_021_4_0046_bmp.rf.becdbf9731d1f71ebc0c2bc01164fe47.jpg,95,105,128,121,Stenosis
14_022_2_0056_bmp.rf.bee20f19e173e20486e0d9606fc8e086.jpg,98,44,118,53,Stenosis
14_021_4_0033_bmp.rf.bed1afa2336761326ea3c8c10e49eeb4.jpg,73,109,103,120,Stenosis
14_021_1_0077_bmp.rf.bef19d92649f956621e55c19a45e5b99.jpg,46,142,74,155,Stenosis
14_039_7_0065_bmp.rf.bef23c207fc89be831cf5b19dc0027c9.jpg,77,53,84,58,Stenosis
14_024_4_0046_bmp.rf.beb06489dc9abd0c5f00263dca146568.jpg,122,124,131,137,Stenosis
14_087_1_0066_bmp.rf.befa075724919a077511ef760f65433e.jpg,75,77,92,86,Stenosis
14_024_1_0042_bmp.rf.beeef2f7f4536eba5624a2fd8c0b512f.jpg,52,49,62,56,Stenosis
14_048_2_0054_bmp.rf.bf05f2aff1a7e60b38fca2ee7014f01b.jpg,49,63,54,71,Stenosis
14_084_7_0047_bmp.rf.bec9e0b73684f6645a9cb8c105fa89f4.jpg,47,63,58,80,Stenosis
14_007_5_0058_bmp.rf.bed905e1c55c68a9081e136c63296c50.jpg,117,56,127,66,Stenosis
